,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switching-cost-rt-taskswitch,relative-switching-cost-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
0,15,PRE_TEST,420.22222222222223,0.9333333333333332,0.6133333333333333,0.4666666666666667,76.22222222222223,-10.568627450980388,0.45,0.55,0.75,0.875,0.8125,0.5625,0.4375,0.95,0.75,0.6,0.25,0.0,1.0,0.75,0.5,0.25,0.0
1,15,POST_TEST,430.55555555555554,0.9466666666666668,0.6933333333333334,0.52,52.60784313725492,40.75555555555559,0.9,0.8,0.6875,0.875,0.875,0.875,0.5,0.75,0.7,0.5,0.2,0.05,0.75,0.6666666666666666,0.4166666666666667,0.0833333333333333,0.0
2,51,PRE_TEST,572.1176470588235,0.9866666666666668,0.7466666666666667,0.5599999999999999,47.64000000000004,119.65217391304344,0.7,0.75,0.875,1.0,0.9375,0.9375,0.3125,1.0,0.9,0.7,0.4,0.3,1.0,0.9166666666666666,0.75,0.5,0.1666666666666666
3,51,POST_TEST,451.55555555555554,0.9866666666666668,0.8666666666666668,0.6,-8.58823529411768,52.31111111111113,0.95,0.75,0.8125,1.0,0.9375,0.9375,0.5,1.0,0.9,0.55,0.45,0.1,1.0,1.0,0.6666666666666666,0.5,0.0833333333333333
4,48,PRE_TEST,524.0625,0.7866666666666667,0.5866666666666668,0.4533333333333333,343.90909090909093,-1.8269230769230376,0.35,0.6,0.9375,0.8125,0.875,0.9375,0.4375,0.25,0.3,0.5,0.35,0.4,0.25,0.0833333333333333,0.0,0.0,0.0
5,48,POST_TEST,586.0555555555555,0.7466666666666667,0.5733333333333334,0.4666666666666667,141.82,138.93478260869563,0.25,0.55,0.75,0.875,0.8125,0.875,0.75,0.35,0.35,0.35,0.5,0.35,0.5833333333333334,0.1666666666666666,0.0,0.0833333333333333,0.0
6,68,PRE_TEST,466.77777777777777,0.9333333333333332,0.6,0.5866666666666666,96.51111111111112,16.784313725490165,1.0,0.95,1.0,0.9375,1.0,1.0,0.8125,0.85,0.85,0.5,0.45,0.2,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.0833333333333333,0.0833333333333333
7,68,POST_TEST,477.05882352941177,0.9866666666666668,0.6933333333333334,0.56,57.91304347826088,34.139999999999986,0.9,0.95,1.0,1.0,1.0,1.0,0.875,0.9,0.8,0.7,0.45,0.3,1.0,0.8333333333333334,0.6666666666666666,0.5,0.0
8,70,PRE_TEST,494.3333333333333,0.9466666666666668,0.6266666666666666,0.5599999999999999,46.36734693877548,143.21739130434787,0.9,0.55,0.75,0.9375,1.0,0.9375,0.375,0.65,0.75,0.8,0.35,0.25,1.0,0.8333333333333334,0.4166666666666667,0.25,0.1666666666666666
9,70,POST_TEST,503.3888888888889,0.92,0.7466666666666667,0.6666666666666666,386.9512195121951,58.29090909090911,1.0,0.6,0.875,0.875,0.875,0.9375,0.5625,0.8,0.8,0.55,0.25,0.0,0.75,0.9166666666666666,0.0833333333333333,0.3333333333333333,0.0833333333333333
